통계표명:,에너지수급현황,,,,,,,,,,,,,,,,,,,,,,,,
단위:,백만TOE,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1차에너지,계,181.1,166.3,181.7,193.2,198.9,209.3,215.8,220.8,229.7,234.1,236.5,241.0,243.5,264.1,277.0,278.3,279.6,282.4,286.9,293.8,302.1,307.6,303.1,292.1
,석탄,34.9,36.1,38.2,42.9,45.7,49.1,51.1,53.2,54.8,56.7,59.7,66.1,68.6,77.1,83.7,80.6,81.5,84.4,85.4,81.5,86.2,86.7,82.1,72.2
,석유,109.4,90.9,97.6,100.6,100.8,103.0,103.1,101.1,102.2,102.6,105.7,100.4,102.5,104.5,105.5,106.1,105.5,104.6,109.1,117.6,119.8,118.5,117.3,110.2
,LNG,14.8,13.8,16.8,18.9,20.8,23.1,24.2,28.4,30.7,32.0,34.5,35.7,33.9,43.0,46.3,50.2,52.5,47.8,43.6,45.5,47.5,55.2,53.5,55.0
,원자력,19.3,22.4,25.8,27.2,28.0,29.8,32.4,32.7,36.7,37.2,30.7,32.5,31.8,31.9,33.3,31.7,29.3,33.0,34.8,34.2,31.6,28.4,31.1,34.1
,기타,2.7,3.1,3.3,3.5,3.5,4.3,5.0,5.4,5.3,5.7,5.9,6.4,6.7,7.5,8.3,9.7,10.8,12.6,14.1,15.0,17.3,18.7,19.0,20.5
최종에너지,계,144.5,132.2,143.0,150.0,153.1,160.9,164.6,166.5,171.5,174.9,182.0,183.1,182.1,195.4,205.2,207.0,208.4,210.4,215.4,221.9,231.0,233.4,231.4,222.6
,산업부문,78.3,76.4,80.1,84.2,85.6,89.8,91.4,93.6,95.6,98.6,104.9,106.9,106.1,116.6,125.3,126.4,128.9,132.9,133.4,135.7,142.5,143.5,142.9,138.0
,수송부문,30.7,26.2,28.6,30.9,31.9,33.8,34.6,34.6,35.5,36.5,37.1,35.8,35.9,36.9,36.8,36.8,37.0,37.2,39.9,42.3,43.2,43.0,43.0,39.4
,가정.상업,32.8,27.2,31.6,32.2,32.6,34.2,34.8,34.6,36.3,35.9,35.9,36.3,35.8,37.4,38.3,38.6,37.8,35.6,37.0,38.7,39.9,41.3,40.1,39.9
,공공.기타,2.7,2.5,2.6,2.6,3.0,3.2,3.7,3.6,4.1,3.9,4.1,4.1,4.3,4.5,4.8,5.2,4.7,4.7,5.1,5.2,5.5,5.6,5.4,5.3
출처:,에너지경제연구원「에너지통계연보」,,,,,,,,,,,,,,,,,,,,,,,,
주석:,* 에너지열량 환산은 에너지법 시행규칙 별표(에너지열량 환산기준)에 따름,,,,,,,,,,,,,,,,,,,,,,,,
